t_inf	y_d
4143	1.36
4148	1.70
4153	1.97
4158	1.81
4163	1.57
4168	1.72
4173	1.72
4178	1.80
4183	1.53
4188	1.50
4193	1.41
4198	1.47
4203	1.49
4208	1.51
4213	1.20
4218	1.39
4223	1.54
4228	1.40
4233	1.42
4238	1.24
4243	1.65
4248	1.61
4253	1.71
4258	1.51
4263	1.62
4268	1.68
4273	1.52
4278	1.32
4283	1.36
4288	1.82
4293	1.36
4298	1.54
4303	1.63
4308	1.53
4313	1.57
4318	1.75
4323	1.65
4328	1.43
4333	1.64
4338	1.36
4343	1.41
4348	1.09
4353	1.11
4358	1.35
4363	1.67
4368	1.98
4373	1.78
4378	1.59
4383	1.58
4388	1.64
4393	1.35
4398	1.47
4403	1.37
4408	1.52
4413	1.75
4418	1.77
4423	1.93
4428	1.63
4433	1.93
4438	2.19
4443	1.60
4448	1.63
4453	1.58
4458	1.65
4463	1.61
4468	1.50
4473	1.32
4478	1.39
4483	1.25
4488	1.32
4493	1.18
4498	1.25
4503	1.45
4508	1.91
4513	1.61
4518	1.53
4523	1.75
4528	1.58
4533	1.81
4538	1.59
4543	1.67
4548	1.90
4553	1.33
4558	1.42
4563	1.27
4568	1.35
4573	1.09
4578	1.31
4583	1.37
4588	1.50
4593	1.29
4598	1.72
4603	1.51
4608	1.62
4613	1.74
4618	1.55
4623	1.17
4628	1.17
4633	1.17
4638	1.45
4643	1.74
4648	1.43
4653	1.60
4658	1.59
4663	1.37
4668	1.38
4673	1.39
4678	1.32
4683	1.32
4688	1.51
4693	1.39
4698	1.27
4703	1.59
4708	1.51
4713	1.75
4718	1.39
4723	1.16
4728	1.52
4733	1.69
4738	1.26
4743	1.14
4748	1.26
4753	1.37
4758	1.55
4763	1.43
4768	1.24
4773	1.36
4778	1.28
4783	1.64
4788	2.08
4793	1.48
4798	1.68
4803	1.84
4808	1.64
4813	1.51
4818	1.46
4823	1.68
4828	1.93
4833	2.10
4838	1.71
4843	1.98
4848	1.81
4853	1.72
4858	1.92
4863	1.97
4868	2.00
4873	1.75
4878	1.89
4883	2.13
4888	1.92
4893	2.07
4898	1.81
4903	1.74
4908	1.61
4913	1.26
4918	1.51
4923	1.41
4928	1.29
4933	1.25
4938	1.41
4943	1.57
4948	1.45
4953	1.52
4958	1.45
4963	1.42
4968	1.42
4973	1.68
4978	1.64
4983	1.92
4988	2.08
4993	1.67
4998	1.80
5003	1.58
5008	1.68
5013	1.45
5018	1.45
5023	1.37
5028	1.46
5033	1.44
5038	1.49
5043	1.52
5048	1.57
5053	1.60
5058	1.70
5063	1.63
5068	1.72
5073	2.02
5078	1.93
5083	1.44
5088	1.50
5093	1.47
5098	1.41
5103	1.13
5108	1.49
5113	1.38
5118	1.59
5123	1.44
5128	1.51
5133	1.41
5138	1.18
5143	1.39
5148	1.43
5153	1.46
5158	1.77
5163	1.52
5168	1.75
5173	1.86
5178	1.39
5183	1.80
5188	1.41
5193	1.74
5198	1.59
5203	1.59
5208	1.51
5213	1.45
5218	1.65
5223	1.88
5228	1.75
5233	1.99
5238	2.11
5243	1.66
5248	1.58
5253	1.86
5258	2.28
5263	2.02
5268	1.82
5273	2.11
5278	1.93
5283	1.86
5288	2.06
5293	1.82
5298	1.85
5303	2.30
5308	2.02
5313	1.94
5318	2.18
5323	2.49
5328	1.99
5333	1.65
5338	1.77
5343	1.84
5348	1.47
5353	1.83
5358	1.55
5363	1.43
5368	1.33
5373	1.43
5378	1.25
5383	1.19
5388	1.40
5393	1.28
5398	1.60
5403	1.74
5408	1.37
5413	1.45
5418	1.49
5423	1.64
5428	1.85
5433	1.90
5438	2.06
5443	2.38
5448	2.08
5453	2.17
5458	2.46
5463	2.31
5468	2.00
5473	2.15
5478	1.79
5483	2.25
5488	1.75
5493	1.75
5498	1.96
5503	1.51
5508	1.05
5513	1.16
5518	1.56
5523	1.53
5528	1.29
5533	1.47
5538	1.56
5543	1.50
5548	1.52
5553	1.65
5558	1.51
5563	1.68
5568	1.77
5573	2.02
5578	2.06
5583	2.06
5588	1.91
5593	2.61
5598	2.79
5603	2.64
5608	2.38
5613	2.25
5618	2.05
5623	1.89
5628	1.53
5633	2.11
5638	1.48
5643	1.24
5648	1.44
5653	1.35
5658	1.37
5663	1.65
5668	2.00
5673	2.03
5678	1.77
5683	1.90
5688	1.89
5693	1.25
5698	1.63
5703	1.52
5708	1.47
5713	1.87
5718	1.75
5723	1.49
5728	1.39
5733	1.55
5738	1.50
5743	1.80
5748	1.58
5753	1.62
5758	1.68
5763	1.90
5768	1.62
5773	1.27
5778	1.28
5783	1.28
5788	1.55
5793	1.54
5798	1.46
5803	1.44
5808	1.53
5813	1.57
5818	1.14
5823	1.24
5828	1.48
5833	1.44
5838	1.64
5843	1.70
5848	1.31
5853	1.64
5858	1.51
5863	1.61
5868	1.74
5873	1.55
5878	1.76
5883	1.51
5888	1.42
5893	1.61
5898	1.77
5903	1.88
5908	1.88
5913	2.00
5918	1.90
5923	1.31
5928	1.52
5933	1.95
5938	1.70
5943	1.82
5948	2.03
5953	1.77
5958	1.57
5963	1.88
5968	2.19
5973	1.49
